"ID","pot_type","strat","rep","config","rowcol","row","col","seed","density","taxa","harvest","potnumber"
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","a.2","a",2,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","a.4","a",4,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","b.3","b",3,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","b.5","b",5,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","c.2","c",2,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","c.4","c",4,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","c.6","c",6,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","d.1","d",1,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","d.3","d",3,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","d.5","d",5,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","e.2","e",2,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","e.4","e",4,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","f.3","f",3,1,"high","C.canadensis","early",1
"6_high_monoA_Cc.Hm_1_early","Cc.Hm",6,1,"monoA","f.5","f",5,1,"high","C.canadensis","early",1
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","a.2","a",2,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","a.4","a",4,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","b.3","b",3,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","b.5","b",5,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","c.2","c",2,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","c.4","c",4,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","c.6","c",6,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","d.1","d",1,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","d.3","d",3,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","d.5","d",5,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","e.2","e",2,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","e.4","e",4,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","f.3","f",3,0,"high","H.matronalis","early",2
"6_high_monoB_Cc.Hm_1_early","Cc.Hm",6,1,"monoB","f.5","f",5,0,"high","H.matronalis","early",2
"6_high_quarterA_Cc.Hm_1_early","Cc.Hm",6,1,"quarterA","a.2","a",2,0,"high","H.matronalis","early",3
"6_high_quarterA_Cc.Hm_1_early","Cc.Hm",6,1,"quarterA","a.4","a",4,0,"high","H.matronalis","early",3
"6_high_quarterA_Cc.Hm_1_early","Cc.Hm",6,1,"quarterA","b.3","b",3,0,"high","H.matronalis","early",3
"6_high_quarterA_Cc.Hm_1_early","Cc.Hm",6,1,"quarterA","b.5","b",5,0,"high","H.matronalis","early",3
"6_high_quarterA_Cc.Hm_1_early","Cc.Hm",6,1,"quarterA","c.2","c",2,1,"high","C.canadensis","early",3
"6_high_quarterA_Cc.Hm_1_early","Cc.Hm",6,1,"quarterA","c.4","c",4,0,"high","H.matronalis","early",3
